Result,Margin,Runs/Wickets,Home/Away,Ground,Match Date,Match Month,Match Year,Match Period,Matches,Country,Opponent Team
Lost,5,wickets,Away,Dambulla,23-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,66,runs,Away,Colombo (RPS),25-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,10,wickets,Away,Colombo (SSC),27-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,108,runs,Home,Birmingham,07-06-2001,Jun,2001,Jun-01,1,England,Pakistan
Lost,5,wickets,Home,Bristol,10-06-2001,Jun,2001,Jun-01,1,England,Australia
Lost,2,runs,Home,Lord's,12-06-2001,Jun,2001,Jun-01,1,England,Pakistan
Lost,125,runs,Home,Manchester,14-06-2001,Jun,2001,Jun-01,1,England,Australia
Lost,8,wickets,Home,The Oval,21-06-2001,Jun,2001,Jun-01,1,England,Australia
Won,5,wickets,Away,Harare,03-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,8,wickets,Away,Harare,06-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,4,wickets,Away,Harare,07-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,70,runs,Away,Bulawayo,10-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,7,wickets,Away,Bulawayo,13-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Lost,22,runs,Away,Kolkata,19-01-2002,Jan,2002,Jan-02,1,England,India
Won,16,runs,Away,Cuttack,22-01-2002,Jan,2002,Jan-02,1,England,India
Lost,4,wickets,Away,Chennai,25-01-2002,Jan,2002,Jan-02,1,England,India
Lost,8,wickets,Away,Kanpur,28-01-2002,Jan,2002,Jan-02,1,England,India
Won,2,runs,Away,Delhi,31-01-2002,Jan,2002,Jan-02,1,England,India
Won,5,runs,Away,Mumbai,03-02-2002,Feb,2002,Feb-02,1,England,India
Lost,4,wickets,Away,Christchurch,13-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Lost,155,runs,Away,Wellington,16-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,43,runs,Away,Napier,20-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,33,runs,Away,Auckland,23-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Lost,5,wickets,Away,Dunedin,26-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,44,runs,Home,Nottingham,27-06-2002,Jun,2002,Jun-02,1,England,SriLanka
Lost,6,wickets,Home,Lord's,29-06-2002,Jun,2002,Jun-02,1,England,India
Won,3,wickets,Home,Leeds,02-07-2002,Jul,2002,Jul-02,1,England,SriLanka
Lost,23,runs,Home,Manchester,07-07-2002,Jul,2002,Jul-02,1,England,SriLanka
Won,64,runs,Home,The Oval,09-07-2002,Jul,2002,Jul-02,1,England,India
Lost,2,wickets,Home,Lord's,13-07-2002,Jul,2002,Jul-02,1,England,India
Won,108,runs,Home,Colombo (RPS),18-09-2002,Sep,2002,Sep-02,1,England,Zimbabwe
Lost,8,wickets,Home,Colombo (RPS),22-09-2002,Sep,2002,Sep-02,1,England,India
Lost,7,wickets,Away,Sydney,13-12-2002,Dec,2002,Dec-02,1,England,Australia
Lost,89,runs,Away,Melbourne,15-12-2002,Dec,2002,Dec-02,1,England,Australia
Won,43,runs,Home,Brisbane,17-12-2002,Dec,2002,Dec-02,1,England,SriLanka
Won,95,runs,Home,Perth,20-12-2002,Dec,2002,Dec-02,1,England,SriLanka
Lost,7,runs,Away,Hobart,11-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,31,runs,Home,Sydney,13-01-2003,Jan,2003,Jan-03,1,England,SriLanka
Won,19,runs,Home,Adelaide,17-01-2003,Jan,2003,Jan-03,1,England,SriLanka
Lost,4,wickets,Away,Adelaide,19-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,10,wickets,Away,Sydney,23-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,5,runs,Away,Melbourne,25-01-2003,Jan,2003,Jan-03,1,England,Australia
Won,6,wickets,Home,East London,16-02-2003,Feb,2003,Feb-03,1,England,Netherlands
Won,55,runs,Home,Port Elizabeth,19-02-2003,Feb,2003,Feb-03,1,England,Namibia
Won,112,runs,Home,Cape Town,22-02-2003,Feb,2003,Feb-03,1,England,Pakistan
Lost,82,runs,Home,Durban,26-02-2003,Feb,2003,Feb-03,1,England,India
Lost,2,wickets,Away,Port Elizabeth,02-03-2003,Mar,2003,Mar-03,1,England,Australia
Lost,2,wickets,Home,Manchester,17-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Won,7,wickets,Home,The Oval,20-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Won,4,wickets,Home,Lord's,22-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Lost,4,wickets,Home,Nottingham,26-06-2003,Jun,2003,Jun-03,1,England,Zimbabwe
Won,6,wickets,Home,The Oval,28-06-2003,Jun,2003,Jun-03,1,England,SouthAfrica
Lost,7,wickets,Home,Manchester,03-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,6,wickets,Home,Bristol,06-07-2003,Jul,2003,Jul-03,1,England,Zimbabwe
Won,4,wickets,Home,Birmingham,08-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,7,wickets,Home,Lord's,12-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,7,wickets,Away,Chattogram,07-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Won,7,wickets,Away,Dhaka,10-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Won,7,wickets,Away,Dhaka,12-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Lost,10,wickets,Away,Dambulla,18-11-2003,Nov,2003,Nov-03,1,England,SriLanka
Won,2,wickets,Away,Georgetown,18-04-2004,Apr,2004,Apr-04,1,England,WestIndies
Lost,5,wickets,Away,Gros Islet,01-05-2004,May,2004,May-04,1,England,WestIndies
Lost,4,wickets,Away,Gros Islet,02-05-2004,May,2004,May-04,1,England,WestIndies
Won,5,wickets,Away,Bridgetown,05-05-2004,May,2004,May-04,1,England,WestIndies
Lost,7,wickets,Home,Nottingham,27-06-2004,Jun,2004,Jun-04,1,England,WestIndies
Lost,7,wickets,Home,Chester-le-Street,29-06-2004,Jun,2004,Jun-04,1,England,NewZealand
Won,7,wickets,Home,Leeds,01-07-2004,Jul,2004,Jul-04,1,England,WestIndies
Lost,6,wickets,Home,Bristol,04-07-2004,Jul,2004,Jul-04,1,England,NewZealand
Lost,7,wickets,Home,Lord's,06-07-2004,Jul,2004,Jul-04,1,England,WestIndies
Won,7,wickets,Home,Nottingham,01-09-2004,Sep,2004,Sep-04,1,England,India
Won,70,runs,Home,The Oval,03-09-2004,Sep,2004,Sep-04,1,England,India
Lost,23,runs,Home,Lord's,05-09-2004,Sep,2004,Sep-04,1,England,India
Won,152,runs,Home,Birmingham,10-09-2004,Sep,2004,Sep-04,1,England,Zimbabwe
Won,49,runs,Home,Southampton,17-09-2004,Sep,2004,Sep-04,1,England,SriLanka
Won,6,wickets,Home,Birmingham,21-09-2004,Sep,2004,Sep-04,1,England,Australia
Lost,2,wickets,Home,The Oval,25-09-2004,Sep,2004,Sep-04,1,England,WestIndies
Won,5,wickets,Away,Harare,28-11-2004,Nov,2004,Nov-04,1,England,Zimbabwe
Won,161,runs,Away,Harare,01-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,8,wickets,Away,Bulawayo,04-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,74,runs,Away,Bulawayo,05-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,26,runs,Away,Johannesburg,30-01-2005,Jan,2005,Jan-05,1,England,SouthAfrica
Lost,3,wickets,Away,Port Elizabeth,04-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
Lost,108,runs,Away,Cape Town,06-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
Lost,7,runs,Away,East London,09-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
Lost,3,wickets,Away,Centurion,13-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
Won,10,wickets,Home,The Oval,16-06-2005,Jun,2005,Jun-05,1,England,Bangladesh
Won,3,wickets,Home,Bristol,19-06-2005,Jun,2005,Jun-05,1,England,Australia
Won,168,runs,Home,Nottingham,21-06-2005,Jun,2005,Jun-05,1,England,Bangladesh
Lost,57,runs,Home,Chester-le-Street,23-06-2005,Jun,2005,Jun-05,1,England,Australia
Won,5,wickets,Home,Leeds,26-06-2005,Jun,2005,Jun-05,1,England,Bangladesh
Won,9,wickets,Home,Leeds,07-07-2005,Jul,2005,Jul-05,1,England,Australia
Lost,7,wickets,Home,Lord's,10-07-2005,Jul,2005,Jul-05,1,England,Australia
Lost,8,wickets,Home,The Oval,12-07-2005,Jul,2005,Jul-05,1,England,Australia
Won,42,runs,Away,Lahore,10-12-2005,Dec,2005,Dec-05,1,England,Pakistan
Lost,7,wickets,Away,Lahore,12-12-2005,Dec,2005,Dec-05,1,England,Pakistan
Lost,165,runs,Away,Karachi,15-12-2005,Dec,2005,Dec-05,1,England,Pakistan
Lost,13,runs,Away,Rawalpindi,19-12-2005,Dec,2005,Dec-05,1,England,Pakistan
Won,6,runs,Away,Rawalpindi,21-12-2005,Dec,2005,Dec-05,1,England,Pakistan
Lost,39,runs,Away,Delhi,28-03-2006,Mar,2006,Mar-06,1,England,India
Lost,4,wickets,Away,Faridabad,31-03-2006,Mar,2006,Mar-06,1,England,India
Lost,49,runs,Away,Margao,03-04-2006,Apr,2006,Apr-06,1,England,India
Lost,4,wickets,Away,Kochi,06-04-2006,Apr,2006,Apr-06,1,England,India
Won,5,wickets,Away,Jamshedpur,12-04-2006,Apr,2006,Apr-06,1,England,India
Lost,7,wickets,Away,Indore,15-04-2006,Apr,2006,Apr-06,1,England,India
Won,38,runs,Away,Belfast,13-06-2006,Jun,2006,Jun-06,1,England,Ireland
Lost,20,runs,Home,Lord's,17-06-2006,Jun,2006,Jun-06,1,England,SriLanka
Lost,46,runs,Home,The Oval,20-06-2006,Jun,2006,Jun-06,1,England,SriLanka
Lost,8,wickets,Home,Chester-le-Street,24-06-2006,Jun,2006,Jun-06,1,England,SriLanka
Lost,33,runs,Home,Manchester,28-06-2006,Jun,2006,Jun-06,1,England,SriLanka
Lost,8,wickets,Home,Leeds,01-07-2006,Jul,2006,Jul-06,1,England,SriLanka
Lost,7,wickets,Home,Lord's,02-09-2006,Sep,2006,Sep-06,1,England,Pakistan
Lost,2,wickets,Home,Southampton,05-09-2006,Sep,2006,Sep-06,1,England,Pakistan
Won,8,wickets,Home,Nottingham,08-09-2006,Sep,2006,Sep-06,1,England,Pakistan
Won,3,wickets,Home,Birmingham,10-09-2006,Sep,2006,Sep-06,1,England,Pakistan
Lost,4,wickets,Away,Jaipur,15-10-2006,Oct,2006,Oct-06,1,England,India
Lost,6,wickets,Away,Jaipur,21-10-2006,Oct,2006,Oct-06,1,England,Australia
Won,3,wickets,Home,Ahmedabad,28-10-2006,Oct,2006,Oct-06,1,England,WestIndies
Lost,8,wickets,Away,Melbourne,12-01-2007,Jan,2007,Jan-07,1,England,Australia
Won,3,wickets,Home,Hobart,16-01-2007,Jan,2007,Jan-07,1,England,NewZealand
Lost,4,wickets,Away,Brisbane,19-01-2007,Jan,2007,Jan-07,1,England,Australia
Lost,90,runs,Home,Adelaide,23-01-2007,Jan,2007,Jan-07,1,England,NewZealand
Lost,9,wickets,Away,Adelaide,26-01-2007,Jan,2007,Jan-07,1,England,Australia
Lost,58,runs,Home,Perth,30-01-2007,Jan,2007,Jan-07,1,England,NewZealand
Won,92,runs,Away,Sydney,02-02-2007,Feb,2007,Feb-07,1,England,Australia
Won,14,runs,Home,Brisbane,06-02-2007,Feb,2007,Feb-07,1,England,NewZealand
Won,4,wickets,Away,Melbourne,09-02-2007,Feb,2007,Feb-07,1,England,Australia
Won,34,runs,Away,Sydney,11-02-2007,Feb,2007,Feb-07,1,England,Australia
Lost,6,wickets,Home,Gros Islet,16-03-2007,Mar,2007,Mar-07,1,England,NewZealand
Won,51,runs,Away,Gros Islet,18-03-2007,Mar,2007,Mar-07,1,England,Canada
Won,7,wickets,Home,Gros Islet,24-03-2007,Mar,2007,Mar-07,1,England,Kenya
Won,48,runs,Home,Providence,30-03-2007,Mar,2007,Mar-07,1,England,Ireland
Lost,2,runs,Home,North Sound,04-04-2007,Apr,2007,Apr-07,1,England,SriLanka
Lost,7,wickets,Away,North Sound,08-04-2007,Apr,2007,Apr-07,1,England,Australia
Won,4,wickets,Away,Bridgetown,11-04-2007,Apr,2007,Apr-07,1,England,Bangladesh
Lost,9,wickets,Home,Bridgetown,17-04-2007,Apr,2007,Apr-07,1,England,SouthAfrica
Won,1,wickets,Away,Bridgetown,21-04-2007,Apr,2007,Apr-07,1,England,WestIndies
Won,79,runs,Home,Lord's,01-07-2007,Jul,2007,Jul-07,1,England,WestIndies
Lost,61,runs,Home,Birmingham,04-07-2007,Jul,2007,Jul-07,1,England,WestIndies
Lost,93,runs,Home,Nottingham,07-07-2007,Jul,2007,Jul-07,1,England,WestIndies
Won,104,runs,Home,Southampton,21-08-2007,Aug,2007,Aug-07,1,England,India
Lost,9,runs,Home,Bristol,24-08-2007,Aug,2007,Aug-07,1,England,India
Won,42,runs,Home,Birmingham,27-08-2007,Aug,2007,Aug-07,1,England,India
Won,3,wickets,Home,Manchester,30-08-2007,Aug,2007,Aug-07,1,England,India
Lost,38,runs,Home,Leeds,02-09-2007,Sep,2007,Sep-07,1,England,India
Lost,2,wickets,Home,The Oval,05-09-2007,Sep,2007,Sep-07,1,England,India
Won,7,wickets,Home,Lord's,08-09-2007,Sep,2007,Sep-07,1,England,India
Lost,119,runs,Away,Dambulla,01-10-2007,Oct,2007,Oct-07,1,England,SriLanka
Won,65,runs,Away,Dambulla,04-10-2007,Oct,2007,Oct-07,1,England,SriLanka
Won,2,wickets,Away,Dambulla,07-10-2007,Oct,2007,Oct-07,1,England,SriLanka
Won,5,wickets,Away,Colombo (RPS),10-10-2007,Oct,2007,Oct-07,1,England,SriLanka
Lost,107,runs,Away,Colombo (RPS),13-10-2007,Oct,2007,Oct-07,1,England,SriLanka
Lost,6,wickets,Away,Wellington,09-02-2008,Feb,2008,Feb-08,1,England,NewZealand
Lost,10,wickets,Away,Hamilton,12-02-2008,Feb,2008,Feb-08,1,England,NewZealand
Won,6,wickets,Away,Auckland,15-02-2008,Feb,2008,Feb-08,1,England,NewZealand
Lost,34,runs,Away,Christchurch,23-02-2008,Feb,2008,Feb-08,1,England,NewZealand
Won,114,runs,Home,Chester-le-Street,15-06-2008,Jun,2008,Jun-08,1,England,NewZealand
Lost,22,runs,Home,Bristol,21-06-2008,Jun,2008,Jun-08,1,England,NewZealand
Lost,1,wickets,Home,The Oval,25-06-2008,Jun,2008,Jun-08,1,England,NewZealand
Lost,51,runs,Home,Lord's,28-06-2008,Jun,2008,Jun-08,1,England,NewZealand
Won,20,runs,Home,Leeds,22-08-2008,Aug,2008,Aug-08,1,England,SouthAfrica
Won,10,wickets,Home,Nottingham,26-08-2008,Aug,2008,Aug-08,1,England,SouthAfrica
Won,126,runs,Home,The Oval,29-08-2008,Aug,2008,Aug-08,1,England,SouthAfrica
Won,7,wickets,Home,Lord's,31-08-2008,Aug,2008,Aug-08,1,England,SouthAfrica
Lost,158,runs,Away,Rajkot,14-11-2008,Nov,2008,Nov-08,1,England,India
Lost,54,runs,Away,Indore,17-11-2008,Nov,2008,Nov-08,1,England,India
Lost,16,runs,Away,Kanpur,20-11-2008,Nov,2008,Nov-08,1,England,India
Lost,19,runs,Away,Bengaluru,23-11-2008,Nov,2008,Nov-08,1,England,India
Lost,6,wickets,Away,Cuttack,26-11-2008,Nov,2008,Nov-08,1,England,India
Won,1,runs,Away,Providence,20-03-2009,Mar,2009,Mar-09,1,England,WestIndies
Lost,21,runs,Away,Providence,22-03-2009,Mar,2009,Mar-09,1,England,WestIndies
Lost,8,wickets,Away,Bridgetown,27-03-2009,Mar,2009,Mar-09,1,England,WestIndies
Won,9,wickets,Away,Bridgetown,29-03-2009,Mar,2009,Mar-09,1,England,WestIndies
Won,26,runs,Away,Gros Islet,03-04-2009,Apr,2009,Apr-09,1,England,WestIndies
Won,6,wickets,Home,Bristol,24-05-2009,May,2009,May-09,1,England,WestIndies
Won,58,runs,Home,Birmingham,26-05-2009,May,2009,May-09,1,England,WestIndies
Won,3,runs,Away,Belfast,27-08-2009,Aug,2009,Aug-09,1,England,Ireland
Lost,4,runs,Home,The Oval,04-09-2009,Sep,2009,Sep-09,1,England,Australia
Lost,39,runs,Home,Lord's,06-09-2009,Sep,2009,Sep-09,1,England,Australia
Lost,6,wickets,Home,Southampton,09-09-2009,Sep,2009,Sep-09,1,England,Australia
Lost,7,wickets,Home,Lord's,12-09-2009,Sep,2009,Sep-09,1,England,Australia
Lost,4,wickets,Home,Nottingham,15-09-2009,Sep,2009,Sep-09,1,England,Australia
Lost,111,runs,Home,Nottingham,17-09-2009,Sep,2009,Sep-09,1,England,Australia
Won,4,wickets,Home,Chester-le-Street,20-09-2009,Sep,2009,Sep-09,1,England,Australia
Won,6,wickets,Home,Johannesburg,25-09-2009,Sep,2009,Sep-09,1,England,SriLanka
Won,22,runs,Away,Centurion,27-09-2009,Sep,2009,Sep-09,1,England,SouthAfrica
Lost,4,wickets,Home,Johannesburg,29-09-2009,Sep,2009,Sep-09,1,England,NewZealand
Lost,9,wickets,Away,Centurion,02-10-2009,Oct,2009,Oct-09,1,England,Australia
Won,7,wickets,Away,Centurion,22-11-2009,Nov,2009,Nov-09,1,England,SouthAfrica
Lost,112,runs,Away,Cape Town,27-11-2009,Nov,2009,Nov-09,1,England,SouthAfrica
Won,7,wickets,Away,Port Elizabeth,29-11-2009,Nov,2009,Nov-09,1,England,SouthAfrica
Won,6,wickets,Away,Dhaka,28-02-2010,Feb,2010,Feb-10,1,England,Bangladesh
Won,2,wickets,Away,Dhaka,02-03-2010,Mar,2010,Mar-10,1,England,Bangladesh
Won,45,runs,Away,Chattogram,05-03-2010,Mar,2010,Mar-10,1,England,Bangladesh
Won,7,wickets,Away,Edinburgh,19-06-2010,Jun,2010,Jun-10,1,England,Scotland
Won,4,wickets,Home,Southampton,22-06-2010,Jun,2010,Jun-10,1,England,Australia
Won,4,wickets,Home,Cardiff,24-06-2010,Jun,2010,Jun-10,1,England,Australia
Won,1,wickets,Home,Manchester,27-06-2010,Jun,2010,Jun-10,1,England,Australia
Lost,78,runs,Home,The Oval,30-06-2010,Jun,2010,Jun-10,1,England,Australia
Lost,42,runs,Home,Lord's,03-07-2010,Jul,2010,Jul-10,1,England,Australia
Won,6,wickets,Home,Nottingham,08-07-2010,Jul,2010,Jul-10,1,England,Bangladesh
Lost,5,runs,Home,Bristol,10-07-2010,Jul,2010,Jul-10,1,England,Bangladesh
Won,144,runs,Home,Birmingham,12-07-2010,Jul,2010,Jul-10,1,England,Bangladesh
Won,24,runs,Home,Chester-le-Street,10-09-2010,Sep,2010,Sep-10,1,England,Pakistan
Won,4,wickets,Home,Leeds,12-09-2010,Sep,2010,Sep-10,1,England,Pakistan
Lost,23,runs,Home,The Oval,17-09-2010,Sep,2010,Sep-10,1,England,Pakistan
Lost,38,runs,Home,Lord's,20-09-2010,Sep,2010,Sep-10,1,England,Pakistan
Won,121,runs,Home,Southampton,22-09-2010,Sep,2010,Sep-10,1,England,Pakistan
Lost,6,wickets,Away,Melbourne,16-01-2011,Jan,2011,Jan-11,1,England,Australia
Lost,46,runs,Away,Hobart,21-01-2011,Jan,2011,Jan-11,1,England,Australia
Lost,4,wickets,Away,Sydney,23-01-2011,Jan,2011,Jan-11,1,England,Australia
Won,21,runs,Away,Adelaide,26-01-2011,Jan,2011,Jan-11,1,England,Australia
Lost,51,runs,Away,Brisbane,30-01-2011,Jan,2011,Jan-11,1,England,Australia
Lost,2,wickets,Away,Sydney,02-02-2011,Feb,2011,Feb-11,1,England,Australia
Lost,57,runs,Away,Perth,06-02-2011,Feb,2011,Feb-11,1,England,Australia
Won,6,wickets,Home,Nagpur,22-02-2011,Feb,2011,Feb-11,1,England,Netherlands
Lost,3,wickets,Home,Bengaluru,02-03-2011,Mar,2011,Mar-11,1,England,Ireland
Won,6,runs,Home,Chennai,06-03-2011,Mar,2011,Mar-11,1,England,SouthAfrica
Lost,2,wickets,Away,Chattogram,11-03-2011,Mar,2011,Mar-11,1,England,Bangladesh
Won,18,runs,Home,Chennai,17-03-2011,Mar,2011,Mar-11,1,England,WestIndies
Lost,10,wickets,Away,Colombo (RPS),26-03-2011,Mar,2011,Mar-11,1,England,SriLanka
Won,110,runs,Home,The Oval,28-06-2011,Jun,2011,Jun-11,1,England,SriLanka
Lost,69,runs,Home,Leeds,01-07-2011,Jul,2011,Jul-11,1,England,SriLanka
Lost,6,wickets,Home,Lord's,03-07-2011,Jul,2011,Jul-11,1,England,SriLanka
Won,10,wickets,Home,Nottingham,06-07-2011,Jul,2011,Jul-11,1,England,SriLanka
Won,16,runs,Home,Manchester,09-07-2011,Jul,2011,Jul-11,1,England,SriLanka
Won,11,runs,Away,Dublin,25-08-2011,Aug,2011,Aug-11,1,England,Ireland
Won,7,wickets,Home,Southampton,06-09-2011,Sep,2011,Sep-11,1,England,India
Won,3,wickets,Home,The Oval,09-09-2011,Sep,2011,Sep-11,1,England,India
Won,6,wickets,Home,Cardiff,16-09-2011,Sep,2011,Sep-11,1,England,India
Lost,126,runs,Away,Hyderabad (Deccan),14-10-2011,Oct,2011,Oct-11,1,England,India
Lost,8,wickets,Away,Delhi,17-10-2011,Oct,2011,Oct-11,1,England,India
Lost,5,wickets,Away,Mohali,20-10-2011,Oct,2011,Oct-11,1,England,India
Lost,6,wickets,Away,Mumbai,23-10-2011,Oct,2011,Oct-11,1,England,India
Lost,95,runs,Away,Kolkata,25-10-2011,Oct,2011,Oct-11,1,England,India
Won,130,runs,Home,Abu Dhabi,13-02-2012,Feb,2012,Feb-12,1,England,Pakistan
Won,20,runs,Home,Abu Dhabi,15-02-2012,Feb,2012,Feb-12,1,England,Pakistan
Won,9,wickets,Home,Dubai (DSC),18-02-2012,Feb,2012,Feb-12,1,England,Pakistan
Won,4,wickets,Home,Dubai (DSC),21-02-2012,Feb,2012,Feb-12,1,England,Pakistan
Won,114,runs,Home,Southampton,16-06-2012,Jun,2012,Jun-12,1,England,WestIndies
Won,8,wickets,Home,The Oval,19-06-2012,Jun,2012,Jun-12,1,England,WestIndies
Won,15,runs,Home,Lord's,29-06-2012,Jun,2012,Jun-12,1,England,Australia
Won,6,wickets,Home,The Oval,01-07-2012,Jul,2012,Jul-12,1,England,Australia
Won,8,wickets,Home,Chester-le-Street,07-07-2012,Jul,2012,Jul-12,1,England,Australia
Won,7,wickets,Home,Manchester,10-07-2012,Jul,2012,Jul-12,1,England,Australia
Lost,80,runs,Home,Southampton,28-08-2012,Aug,2012,Aug-12,1,England,SouthAfrica
Won,4,wickets,Home,The Oval,31-08-2012,Aug,2012,Aug-12,1,England,SouthAfrica
Won,6,wickets,Home,Lord's,02-09-2012,Sep,2012,Sep-12,1,England,SouthAfrica
Lost,7,wickets,Home,Nottingham,05-09-2012,Sep,2012,Sep-12,1,England,SouthAfrica
Won,9,runs,Away,Rajkot,11-01-2013,Jan,2013,Jan-13,1,England,India
Lost,127,runs,Away,Kochi,15-01-2013,Jan,2013,Jan-13,1,England,India
Lost,7,wickets,Away,Ranchi,19-01-2013,Jan,2013,Jan-13,1,England,India
Lost,5,wickets,Away,Mohali,23-01-2013,Jan,2013,Jan-13,1,England,India
Won,7,wickets,Away,Dharamsala,27-01-2013,Jan,2013,Jan-13,1,England,India
Lost,3,wickets,Away,Hamilton,17-02-2013,Feb,2013,Feb-13,1,England,NewZealand
Won,8,wickets,Away,Napier,20-02-2013,Feb,2013,Feb-13,1,England,NewZealand
Won,5,wickets,Away,Auckland,23-02-2013,Feb,2013,Feb-13,1,England,NewZealand
Lost,5,wickets,Home,Lord's,31-05-2013,May,2013,May-13,1,England,NewZealand
Lost,86,runs,Home,Southampton,02-06-2013,Jun,2013,Jun-13,1,England,NewZealand
Won,34,runs,Home,Nottingham,05-06-2013,Jun,2013,Jun-13,1,England,NewZealand
Won,48,runs,Home,Birmingham,08-06-2013,Jun,2013,Jun-13,1,England,Australia
Lost,7,wickets,Home,The Oval,13-06-2013,Jun,2013,Jun-13,1,England,SriLanka
Won,10,runs,Home,Cardiff,16-06-2013,Jun,2013,Jun-13,1,England,NewZealand
Won,7,wickets,Home,The Oval,19-06-2013,Jun,2013,Jun-13,1,England,SouthAfrica
Lost,5,runs,Home,Birmingham,23-06-2013,Jun,2013,Jun-13,1,England,India
Won,6,wickets,Away,Dublin (Malahide),03-09-2013,Sep,2013,Sep-13,1,England,Ireland
Lost,88,runs,Home,Manchester,08-09-2013,Sep,2013,Sep-13,1,England,Australia
Won,3,wickets,Home,Cardiff,14-09-2013,Sep,2013,Sep-13,1,England,Australia
Lost,49,runs,Home,Southampton,16-09-2013,Sep,2013,Sep-13,1,England,Australia
Lost,6,wickets,Away,Melbourne,12-01-2014,Jan,2014,Jan-14,1,England,Australia
Lost,1,wickets,Away,Brisbane,17-01-2014,Jan,2014,Jan-14,1,England,Australia
Lost,7,wickets,Away,Sydney,19-01-2014,Jan,2014,Jan-14,1,England,Australia
Won,57,runs,Away,Perth,24-01-2014,Jan,2014,Jan-14,1,England,Australia
Lost,5,runs,Away,Adelaide,26-01-2014,Jan,2014,Jan-14,1,England,Australia
Lost,15,runs,Away,North Sound,28-02-2014,Feb,2014,Feb-14,1,England,WestIndies
Won,3,wickets,Away,North Sound,02-03-2014,Mar,2014,Mar-14,1,England,WestIndies
Won,25,runs,Away,North Sound,05-03-2014,Mar,2014,Mar-14,1,England,WestIndies
Won,39,runs,Away,Aberdeen,09-05-2014,May,2014,May-14,1,England,Scotland
Won,81,runs,Home,The Oval,22-05-2014,May,2014,May-14,1,England,SriLanka
Lost,157,runs,Home,Chester-le-Street,25-05-2014,May,2014,May-14,1,England,SriLanka
Won,10,wickets,Home,Manchester,28-05-2014,May,2014,May-14,1,England,SriLanka
Lost,7,runs,Home,Lord's,31-05-2014,May,2014,May-14,1,England,SriLanka
Lost,6,wickets,Home,Birmingham,03-06-2014,Jun,2014,Jun-14,1,England,SriLanka
Lost,133,runs,Home,Cardiff,27-08-2014,Aug,2014,Aug-14,1,England,India
Lost,6,wickets,Home,Nottingham,30-08-2014,Aug,2014,Aug-14,1,England,India
Lost,9,wickets,Home,Birmingham,02-09-2014,Sep,2014,Sep-14,1,England,India
Won,41,runs,Home,Leeds,05-09-2014,Sep,2014,Sep-14,1,England,India
Lost,25,runs,Away,Colombo (RPS),26-11-2014,Nov,2014,Nov-14,1,England,SriLanka
Lost,8,wickets,Away,Colombo (RPS),29-11-2014,Nov,2014,Nov-14,1,England,SriLanka
Won,5,wickets,Away,Hambantota,03-12-2014,Dec,2014,Dec-14,1,England,SriLanka
Lost,6,wickets,Away,Colombo (RPS),07-12-2014,Dec,2014,Dec-14,1,England,SriLanka
Won,5,wickets,Away,Pallekele,10-12-2014,Dec,2014,Dec-14,1,England,SriLanka
Lost,90,runs,Away,Pallekele,13-12-2014,Dec,2014,Dec-14,1,England,SriLanka
Lost,87,runs,Away,Colombo (RPS),16-12-2014,Dec,2014,Dec-14,1,England,SriLanka
Lost,3,wickets,Away,Sydney,16-01-2015,Jan,2015,Jan-15,1,England,Australia
Won,9,wickets,Home,Brisbane,20-01-2015,Jan,2015,Jan-15,1,England,India
Lost,3,wickets,Away,Hobart,23-01-2015,Jan,2015,Jan-15,1,England,Australia
Won,3,wickets,Home,Perth,30-01-2015,Jan,2015,Jan-15,1,England,India
